,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.9568,0.00013696,0.914783571,0.000690091,0.946591639,0.000233272,0.498059591,0.0424047,0.053249731,0.011058
1,0.4,0.956,0.0001088,0.913783097,0.000606267,0.945662203,0.000187687,0.496350189,0.0396631,0.048107582,5.28E-03
2,0.6,0.9568,0.00013696,0.914783571,0.000690091,0.948659164,0.000233272,0.488059591,0.03363782,0.050132497,0.0011058
3,0.8,0.9568,0.00013696,0.914783571,0.000690091,0.938465916,0.000233272,0.458059591,0.03363782,0.040832497,0.011058
