,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.9584,0.00019584,0.916571234,0.0007119,0.957482748,0.000259302,0.493660791,0.03436919,0.0342686,0.003799166
1,0.4,0.9584,0.00019584,0.916571234,0.0007119,0.948748275,0.000259302,0.485366079,0.003436919,0.03242686,0.003799166
2,0.6,0.9584,0.00019584,0.916571234,0.0007119,0.947482748,0.000259302,0.433660791,0.003436919,0.0242686,0.003799166
3,0.8,0.9584,0.00019584,0.916571234,0.0007119,0.949482748,0.000259302,0.433660791,0.003436919,0.024942686,0.003799166
