,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.6208,0.00030336,0.731833648,0.000446342,0.712626518,0.011683253,0.024579842,0.002507515,0.027153561,0.003854456
1,0.4,0.6328,0.00019456,0.735159029,0.000434842,0.703621171,0.003263698,0.017994531,0.002076839,0.029834515,0.002106206
2,0.6,0.6432,0.00057216,0.730863864,0.000620521,0.681590461,0.003257337,0.016639661,0.001242144,0.023071948,0.001744577
3,0.8,0.6208,0.00047616,0.731799715,0.000370374,0.671233326,0.002824752,0.012978621,0.00341783,0.019853538,0.00378323
