,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.95,4.00E-06,0.900741083,1.79E-05,0.958404741,4.99E-06,0.65726165,0.00419128,0.108980981,3.21E-03
1,0.4,0.95,4.00E-06,0.900741083,1.79E-05,0.938404741,4.99E-06,0.684472617,0.0419128,0.109809807,3.21E-03
2,0.6,0.95,4.00E-06,0.900741083,1.79E-05,0.940840474,4.99E-06,0.558447262,0.0419128,0.09809807,3.21E-02
3,0.8,0.95,4.00E-06,0.900741083,1.79E-05,0.931404741,4.99E-06,0.484472617,0.0419128,0.089809807,3.21E-03
