,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.9568,0.00013696,0.914783571,0.000690091,0.936591639,0.00233272,0.48059591,0.0524047,0.063249731,0.021058
1,0.4,0.956,0.0001088,0.913783097,0.000606267,0.945662203,0.00187687,0.506350189,0.0296631,0.048107582,5.28E-02
2,0.6,0.9568,0.00013696,0.914783571,0.000690091,0.948659164,0.000533272,0.488059591,0.04363782,0.05201325,0.011058
3,0.8,0.9568,0.00013696,0.914783571,0.000690091,0.928465916,0.000833272,0.468059591,0.039363782,0.04908325,0.021058
