,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.9568,0.00013696,0.904783571,0.000690091,0.926591639,0.000233272,0.508059591,0.05047214,0.054324973,0.0011058
1,0.4,0.956,0.0001088,0.903783097,0.000606267,0.925662203,0.000187687,0.496350189,0.04637445,0.040107582,5.28E-03
2,0.6,0.9568,0.00013696,0.914783571,0.000690091,0.916591639,0.000233272,0.498059591,0.005047214,0.041324973,0.0011058
3,0.8,0.9568,0.00013696,0.904783571,0.000690091,0.912659164,0.000233272,0.478059591,0.05047214,0.038324973,0.0011058
