,sens_number,accuracy,acc_std,avpr,avpr_std,f1,f1_std,dp,dp_std,eq,eq_std
0,0.2,0.594,0.000676,0.743325049,0.00513208,0.690394415,0.008223913,0.045105616,0.006531437,0.05036652,0.004119684
1,0.4,0.58,0.000144,0.731752099,0.00444415,0.674735285,0.005212222,0.034191182,0.008635304,0.055045652,0.007811639
2,0.6,0.596,0.000784,0.72402087,0.00545219,0.692437944,0.002528427,0.03231232,0.004914913,0.056520367,0.005364075
3,0.8,0.58,0.000144,0.721752099,0.00444415,0.670247353,0.002335942,0.035191182,0.007635304,0.047456524,0.004781164
